ts_utc,vix9d,vix9d_time,vix1m,vix1m_time
2026-06-23T17:19:24.839881+00:00,18.68,2026-06-23T17:04:16+00:00,18.98,2026-06-23T17:04:16+00:00
2026-06-23T17:20:37.166948+00:00,18.68,2026-06-23T17:05:17+00:00,19.02,2026-06-23T17:05:31+00:00
2026-06-23T17:25:34.641730+00:00,18.62,2026-06-23T17:10:31+00:00,18.94,2026-06-23T17:10:31+00:00
2026-06-23T17:30:41.708980+00:00,18.46,2026-06-23T17:15:32+00:00,18.84,2026-06-23T17:15:31+00:00
2026-06-23T17:35:37.256917+00:00,18.55,2026-06-23T17:20:31+00:00,18.89,2026-06-23T17:20:31+00:00
2026-06-23T17:40:43.239423+00:00,18.23,2026-06-23T17:25:31+00:00,18.69,2026-06-23T17:25:31+00:00
2026-06-23T17:45:43.896921+00:00,18.27,2026-06-23T17:30:31+00:00,18.75,2026-06-23T17:30:31+00:00
2026-06-23T17:50:33.109708+00:00,18.11,2026-06-23T17:35:16+00:00,18.64,2026-06-23T17:35:16+00:00
2026-06-23T17:55:39.630883+00:00,18.1,2026-06-23T17:40:32+00:00,18.64,2026-06-23T17:40:31+00:00
2026-06-23T18:00:46.216312+00:00,18.18,2026-06-23T17:45:32+00:00,18.71,2026-06-23T17:45:31+00:00
2026-06-23T18:05:39.079057+00:00,18.24,2026-06-23T17:50:31+00:00,18.76,2026-06-23T17:50:31+00:00
2026-06-23T18:10:59.059191+00:00,18.63,2026-06-23T17:55:46+00:00,18.99,2026-06-23T17:55:46+00:00
2026-06-23T18:15:34.936857+00:00,18.56,2026-06-23T18:00:32+00:00,18.95,2026-06-23T18:00:31+00:00
2026-06-23T18:20:39.098113+00:00,18.65,2026-06-23T18:05:31+00:00,18.99,2026-06-23T18:05:31+00:00
2026-06-23T18:25:39.898785+00:00,18.85,2026-06-23T18:10:31+00:00,19.11,2026-06-23T18:10:31+00:00
2026-06-23T18:30:40.937106+00:00,18.75,2026-06-23T18:15:32+00:00,19.05,2026-06-23T18:15:31+00:00
2026-06-23T18:35:41.052939+00:00,18.93,2026-06-23T18:20:31+00:00,19.14,2026-06-23T18:20:31+00:00
2026-06-23T18:40:39.120251+00:00,18.9,2026-06-23T18:25:16+00:00,19.16,2026-06-23T18:25:31+00:00
2026-06-23T18:45:40.441726+00:00,19.03,2026-06-23T18:30:31+00:00,19.2,2026-06-23T18:30:31+00:00
2026-06-23T18:50:40.585775+00:00,19.08,2026-06-23T18:35:31+00:00,19.18,2026-06-23T18:35:16+00:00
2026-06-23T18:55:34.076764+00:00,19.24,2026-06-23T18:40:31+00:00,19.3,2026-06-23T18:40:31+00:00
2026-06-23T19:00:45.816017+00:00,19.66,2026-06-23T18:45:31+00:00,19.63,2026-06-23T18:45:31+00:00
2026-06-23T19:05:33.770361+00:00,19.4,2026-06-23T18:50:31+00:00,19.51,2026-06-23T18:50:31+00:00
2026-06-23T19:10:31.230368+00:00,19.82,2026-06-23T18:55:16+00:00,19.74,2026-06-23T18:55:16+00:00
2026-06-23T19:15:31.194799+00:00,19.61,2026-06-23T19:00:17+00:00,19.62,2026-06-23T19:00:16+00:00
2026-06-23T19:20:40.348412+00:00,19.02,2026-06-23T19:05:31+00:00,19.25,2026-06-23T19:05:16+00:00
2026-06-23T19:25:33.161681+00:00,19.54,2026-06-23T19:10:31+00:00,19.55,2026-06-23T19:10:31+00:00
2026-06-23T19:30:39.966390+00:00,19.52,2026-06-23T19:15:32+00:00,19.53,2026-06-23T19:15:31+00:00
2026-06-23T19:35:32.877517+00:00,19.8,2026-06-23T19:20:17+00:00,19.65,2026-06-23T19:20:31+00:00
2026-06-23T19:40:38.400003+00:00,19.37,2026-06-23T19:25:32+00:00,19.42,2026-06-23T19:25:31+00:00
2026-06-23T19:45:40.477575+00:00,19.24,2026-06-23T19:30:32+00:00,19.34,2026-06-23T19:30:31+00:00
2026-06-23T19:50:30.799414+00:00,19.27,2026-06-23T19:35:16+00:00,19.36,2026-06-23T19:35:16+00:00
2026-06-23T19:55:30.350208+00:00,19.42,2026-06-23T19:40:17+00:00,19.46,2026-06-23T19:40:16+00:00
2026-06-23T20:00:45.063912+00:00,19.47,2026-06-23T19:45:31+00:00,19.52,2026-06-23T19:45:31+00:00
2026-06-23T20:05:40.994892+00:00,19.37,2026-06-23T19:50:32+00:00,19.45,2026-06-23T19:50:31+00:00
2026-06-23T20:10:41.221873+00:00,19.2,2026-06-23T19:55:17+00:00,19.29,2026-06-23T19:55:31+00:00
2026-06-23T20:15:33.535836+00:00,19.63,2026-06-23T20:00:31+00:00,19.56,2026-06-23T20:00:16+00:00
2026-06-23T20:20:36.805202+00:00,19.56,2026-06-23T20:05:32+00:00,19.55,2026-06-23T20:05:31+00:00
2026-06-23T20:25:36.785117+00:00,19.42,2026-06-23T20:10:32+00:00,19.48,2026-06-23T20:10:31+00:00
2026-06-23T20:30:36.374438+00:00,19.47,2026-06-23T20:15:02+00:00,19.49,2026-06-23T20:15:01+00:00
2026-06-23T23:10:32.651288+00:00,19.47,2026-06-23T20:15:02+00:00,17.28,2026-06-22T20:15:00+00:00
2026-06-23T23:15:32.559876+00:00,19.47,2026-06-23T20:15:02+00:00,19.49,2026-06-23T20:15:01+00:00
2026-06-24T08:00:37.987518+00:00,19.47,2026-06-23T20:15:02+00:00,19.1,2026-06-24T07:45:31+00:00
2026-06-24T08:05:35.315551+00:00,19.47,2026-06-23T20:15:02+00:00,19.1,2026-06-24T07:50:31+00:00
2026-06-24T08:10:30.026485+00:00,19.47,2026-06-23T20:15:02+00:00,19.19,2026-06-24T07:55:16+00:00
2026-06-24T08:15:34.207726+00:00,19.47,2026-06-23T20:15:02+00:00,19.26,2026-06-24T08:00:16+00:00
2026-06-24T08:20:37.502456+00:00,19.47,2026-06-23T20:15:02+00:00,19.1,2026-06-24T08:05:31+00:00
2026-06-24T08:25:30.739442+00:00,19.47,2026-06-23T20:15:02+00:00,19.18,2026-06-24T08:10:16+00:00
2026-06-24T08:30:36.951321+00:00,19.47,2026-06-23T20:15:02+00:00,19.14,2026-06-24T08:15:31+00:00
2026-06-24T08:35:30.715651+00:00,19.47,2026-06-23T20:15:02+00:00,19.19,2026-06-24T08:20:16+00:00
2026-06-24T08:40:29.397067+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T08:25:16+00:00
2026-06-24T08:45:34.814106+00:00,19.47,2026-06-23T20:15:02+00:00,19.22,2026-06-24T08:30:31+00:00
2026-06-24T08:50:29.753164+00:00,19.47,2026-06-23T20:15:02+00:00,19.19,2026-06-24T08:35:16+00:00
2026-06-24T08:55:31.530740+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T08:40:16+00:00
2026-06-24T09:00:45.132579+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T08:45:31+00:00
2026-06-24T09:05:32.336784+00:00,19.47,2026-06-23T20:15:02+00:00,19.26,2026-06-24T08:50:16+00:00
2026-06-24T09:10:34.471955+00:00,19.47,2026-06-23T20:15:02+00:00,19.24,2026-06-24T08:55:31+00:00
2026-06-24T09:15:33.093325+00:00,19.47,2026-06-23T20:15:02+00:00,19.21,2026-06-24T09:00:16+00:00
2026-06-24T09:20:36.086218+00:00,19.47,2026-06-23T20:15:02+00:00,19.27,2026-06-24T09:05:31+00:00
2026-06-24T09:25:27.582061+00:00,19.47,2026-06-23T20:15:02+00:00,19.2,2026-06-24T09:10:16+00:00
2026-06-24T09:30:33.578988+00:00,19.47,2026-06-23T20:15:02+00:00,19.15,2026-06-24T09:15:31+00:00
2026-06-24T09:35:28.951879+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T09:20:16+00:00
2026-06-24T09:40:30.521677+00:00,19.47,2026-06-23T20:15:02+00:00,19.2,2026-06-24T09:25:16+00:00
2026-06-24T09:45:34.756633+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T09:30:31+00:00
2026-06-24T09:50:30.792638+00:00,19.47,2026-06-23T20:15:02+00:00,19.24,2026-06-24T09:35:16+00:00
2026-06-24T09:55:26.941523+00:00,19.47,2026-06-23T20:15:02+00:00,19.31,2026-06-24T09:40:16+00:00
2026-06-24T10:00:35.893612+00:00,19.47,2026-06-23T20:15:02+00:00,19.4,2026-06-24T09:45:31+00:00
2026-06-24T10:05:30.796064+00:00,19.47,2026-06-23T20:15:02+00:00,19.29,2026-06-24T09:50:16+00:00
2026-06-24T10:10:29.024097+00:00,19.47,2026-06-23T20:15:02+00:00,19.26,2026-06-24T09:55:16+00:00
2026-06-24T10:15:36.251736+00:00,19.47,2026-06-23T20:15:02+00:00,19.29,2026-06-24T10:00:31+00:00
2026-06-24T10:20:29.920351+00:00,19.47,2026-06-23T20:15:02+00:00,19.28,2026-06-24T10:05:16+00:00
2026-06-24T10:25:34.476524+00:00,19.47,2026-06-23T20:15:02+00:00,19.28,2026-06-24T10:10:31+00:00
2026-06-24T10:30:33.634515+00:00,19.47,2026-06-23T20:15:02+00:00,19.24,2026-06-24T10:15:31+00:00
2026-06-24T10:35:29.232530+00:00,19.47,2026-06-23T20:15:02+00:00,19.22,2026-06-24T10:20:16+00:00
2026-06-24T10:40:27.399996+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T10:25:16+00:00
2026-06-24T10:45:33.323549+00:00,19.47,2026-06-23T20:15:02+00:00,19.18,2026-06-24T10:30:31+00:00
2026-06-24T10:50:31.007637+00:00,19.47,2026-06-23T20:15:02+00:00,19.14,2026-06-24T10:35:16+00:00
2026-06-24T10:55:32.949357+00:00,19.47,2026-06-23T20:15:02+00:00,19.13,2026-06-24T10:40:31+00:00
2026-06-24T11:00:37.387011+00:00,19.47,2026-06-23T20:15:02+00:00,19.09,2026-06-24T10:45:31+00:00
2026-06-24T11:05:34.493605+00:00,19.47,2026-06-23T20:15:02+00:00,19.15,2026-06-24T10:50:31+00:00
2026-06-24T11:10:28.498781+00:00,19.47,2026-06-23T20:15:02+00:00,19.19,2026-06-24T10:55:16+00:00
2026-06-24T11:15:31.457249+00:00,19.47,2026-06-23T20:15:02+00:00,19.16,2026-06-24T11:00:16+00:00
2026-06-24T11:20:28.797924+00:00,19.47,2026-06-23T20:15:02+00:00,19.11,2026-06-24T11:05:16+00:00
2026-06-24T11:25:29.441272+00:00,19.47,2026-06-23T20:15:02+00:00,19.2,2026-06-24T11:10:16+00:00
2026-06-24T11:30:38.107180+00:00,19.47,2026-06-23T20:15:02+00:00,19.23,2026-06-24T11:15:31+00:00
2026-06-24T11:35:29.845558+00:00,19.47,2026-06-23T20:15:02+00:00,19.27,2026-06-24T11:20:16+00:00
2026-06-24T11:40:33.654554+00:00,19.47,2026-06-23T20:15:02+00:00,19.24,2026-06-24T11:25:31+00:00
2026-06-24T11:45:38.935310+00:00,19.47,2026-06-23T20:15:02+00:00,19.18,2026-06-24T11:30:31+00:00
2026-06-24T11:50:32.514010+00:00,19.47,2026-06-23T20:15:02+00:00,19.08,2026-06-24T11:35:16+00:00
2026-06-24T11:55:35.289665+00:00,19.47,2026-06-23T20:15:02+00:00,18.95,2026-06-24T11:40:31+00:00
2026-06-24T12:00:35.926158+00:00,19.47,2026-06-23T20:15:02+00:00,18.94,2026-06-24T11:45:31+00:00
2026-06-24T12:05:32.116897+00:00,19.47,2026-06-23T20:15:02+00:00,18.82,2026-06-24T11:50:16+00:00
2026-06-24T12:10:29.543322+00:00,19.47,2026-06-23T20:15:02+00:00,18.87,2026-06-24T11:55:16+00:00
2026-06-24T12:20:40.589155+00:00,19.47,2026-06-23T20:15:02+00:00,18.84,2026-06-24T12:05:31+00:00
2026-06-24T12:25:34.918465+00:00,19.47,2026-06-23T20:15:02+00:00,18.87,2026-06-24T12:10:31+00:00
2026-06-24T12:30:32.681025+00:00,19.47,2026-06-23T20:15:02+00:00,18.87,2026-06-24T12:15:16+00:00
2026-06-24T12:35:27.747779+00:00,19.47,2026-06-23T20:15:02+00:00,18.75,2026-06-24T12:20:16+00:00
2026-06-24T12:40:30.874679+00:00,19.47,2026-06-23T20:15:02+00:00,18.78,2026-06-24T12:25:16+00:00
2026-06-24T12:45:34.485042+00:00,19.47,2026-06-23T20:15:02+00:00,18.74,2026-06-24T12:30:31+00:00
2026-06-24T12:50:31.974244+00:00,19.47,2026-06-23T20:15:02+00:00,18.85,2026-06-24T12:35:16+00:00
2026-06-24T12:55:30.981611+00:00,19.47,2026-06-23T20:15:02+00:00,18.92,2026-06-24T12:40:16+00:00
2026-06-24T13:00:39.432215+00:00,19.47,2026-06-23T20:15:02+00:00,18.97,2026-06-24T12:45:31+00:00
2026-06-24T13:05:28.977528+00:00,19.47,2026-06-23T20:15:02+00:00,19.02,2026-06-24T12:50:16+00:00
2026-06-24T13:10:34.970143+00:00,19.47,2026-06-23T20:15:02+00:00,19.08,2026-06-24T12:55:31+00:00
2026-06-24T13:15:37.609366+00:00,19.47,2026-06-23T20:15:02+00:00,19.02,2026-06-24T13:00:31+00:00
2026-06-24T13:20:35.434594+00:00,19.47,2026-06-23T20:15:02+00:00,19.06,2026-06-24T13:05:31+00:00
2026-06-24T13:25:30.181413+00:00,19.47,2026-06-23T20:15:02+00:00,19.15,2026-06-24T13:10:16+00:00
2026-06-24T13:30:36.346594+00:00,19.47,2026-06-23T20:15:02+00:00,19.25,2026-06-24T13:15:31+00:00
2026-06-24T13:35:34.596981+00:00,19.47,2026-06-23T20:15:02+00:00,19.19,2026-06-24T13:20:31+00:00
2026-06-24T13:40:32.426708+00:00,19.47,2026-06-23T20:15:02+00:00,19.21,2026-06-24T13:25:01+00:00
2026-06-24T13:50:37.583977+00:00,18.43,2026-06-24T13:35:17+00:00,18.94,2026-06-24T13:35:31+00:00
2026-06-24T13:55:31.224548+00:00,18.7,2026-06-24T13:40:16+00:00,19.05,2026-06-24T13:40:16+00:00
2026-06-24T14:00:42.464415+00:00,18.88,2026-06-24T13:45:32+00:00,19.17,2026-06-24T13:45:31+00:00
2026-06-24T14:05:36.310471+00:00,18.68,2026-06-24T13:50:32+00:00,19.09,2026-06-24T13:50:31+00:00
2026-06-24T14:10:31.195650+00:00,18.42,2026-06-24T13:55:16+00:00,18.89,2026-06-24T13:55:16+00:00
2026-06-24T14:15:31.202895+00:00,18.45,2026-06-24T14:00:16+00:00,19.0,2026-06-24T14:00:16+00:00
2026-06-24T14:20:33.508163+00:00,18.48,2026-06-24T14:05:31+00:00,19.0,2026-06-24T14:05:31+00:00
2026-06-24T14:25:34.268454+00:00,18.55,2026-06-24T14:10:16+00:00,18.91,2026-06-24T14:10:31+00:00
2026-06-24T14:30:33.641273+00:00,18.56,2026-06-24T14:15:31+00:00,18.99,2026-06-24T14:15:31+00:00
2026-06-24T14:35:31.571967+00:00,18.92,2026-06-24T14:20:16+00:00,19.22,2026-06-24T14:20:16+00:00
2026-06-24T14:40:38.446847+00:00,18.28,2026-06-24T14:25:31+00:00,18.82,2026-06-24T14:25:31+00:00
2026-06-24T14:45:31.719943+00:00,18.07,2026-06-24T14:30:17+00:00,18.72,2026-06-24T14:30:16+00:00
2026-06-24T14:50:32.393804+00:00,18.04,2026-06-24T14:35:17+00:00,18.67,2026-06-24T14:35:31+00:00
2026-06-24T14:55:30.748429+00:00,18.17,2026-06-24T14:40:16+00:00,18.72,2026-06-24T14:40:16+00:00
2026-06-24T15:00:40.018829+00:00,17.67,2026-06-24T14:45:31+00:00,18.42,2026-06-24T14:45:31+00:00
2026-06-24T15:05:36.166315+00:00,17.46,2026-06-24T14:50:32+00:00,18.24,2026-06-24T14:50:31+00:00
2026-06-24T15:10:35.732705+00:00,17.57,2026-06-24T14:55:32+00:00,18.32,2026-06-24T14:55:31+00:00
2026-06-24T15:15:30.935981+00:00,17.13,2026-06-24T15:00:16+00:00,18.06,2026-06-24T15:00:16+00:00
2026-06-24T15:20:34.985239+00:00,17.33,2026-06-24T15:05:31+00:00,18.23,2026-06-24T15:05:16+00:00
2026-06-24T15:25:35.907729+00:00,17.52,2026-06-24T15:10:31+00:00,18.38,2026-06-24T15:10:31+00:00
2026-06-24T15:30:38.263672+00:00,17.47,2026-06-24T15:15:16+00:00,18.36,2026-06-24T15:15:31+00:00
2026-06-24T15:35:29.012340+00:00,17.26,2026-06-24T15:20:16+00:00,18.22,2026-06-24T15:20:16+00:00
2026-06-24T15:40:32.706897+00:00,17.36,2026-06-24T15:25:16+00:00,18.29,2026-06-24T15:25:31+00:00
2026-06-24T15:45:51.813574+00:00,17.0,2026-06-24T15:30:31+00:00,18.07,2026-06-24T15:30:46+00:00
2026-06-24T15:50:34.724007+00:00,17.18,2026-06-24T15:35:31+00:00,18.18,2026-06-24T15:35:31+00:00
2026-06-24T15:55:32.481311+00:00,17.23,2026-06-24T15:40:16+00:00,18.24,2026-06-24T15:40:31+00:00
2026-06-24T16:00:35.957383+00:00,17.44,2026-06-24T15:45:32+00:00,18.38,2026-06-24T15:45:31+00:00
2026-06-24T16:05:31.749063+00:00,17.27,2026-06-24T15:50:17+00:00,18.25,2026-06-24T15:50:16+00:00
2026-06-24T16:10:33.730608+00:00,17.23,2026-06-24T15:55:16+00:00,18.23,2026-06-24T15:55:31+00:00
2026-06-24T16:15:33.504676+00:00,17.36,2026-06-24T16:00:16+00:00,18.29,2026-06-24T16:00:31+00:00
2026-06-24T16:20:34.958528+00:00,17.46,2026-06-24T16:05:32+00:00,18.38,2026-06-24T16:05:31+00:00
2026-06-24T16:25:31.821601+00:00,17.44,2026-06-24T16:10:16+00:00,18.4,2026-06-24T16:10:16+00:00
2026-06-24T16:30:33.569663+00:00,17.25,2026-06-24T16:15:17+00:00,18.29,2026-06-24T16:15:31+00:00
2026-06-24T16:35:39.429236+00:00,17.28,2026-06-24T16:20:17+00:00,18.35,2026-06-24T16:20:31+00:00
2026-06-24T16:40:33.198422+00:00,17.26,2026-06-24T16:25:31+00:00,18.33,2026-06-24T16:25:31+00:00
2026-06-24T16:45:36.491015+00:00,17.44,2026-06-24T16:30:31+00:00,18.46,2026-06-24T16:30:31+00:00
2026-06-24T16:50:30.238431+00:00,17.37,2026-06-24T16:35:16+00:00,18.42,2026-06-24T16:35:16+00:00
2026-06-24T16:55:28.017734+00:00,18.01,2026-06-24T16:40:16+00:00,18.84,2026-06-24T16:40:16+00:00
2026-06-24T17:00:35.496510+00:00,18.11,2026-06-24T16:45:31+00:00,18.88,2026-06-24T16:45:31+00:00
2026-06-24T17:05:30.120501+00:00,17.87,2026-06-24T16:50:17+00:00,18.73,2026-06-24T16:50:16+00:00
2026-06-24T17:10:32.477239+00:00,18.34,2026-06-24T16:55:17+00:00,18.98,2026-06-24T16:55:16+00:00
2026-06-24T17:15:35.052882+00:00,18.28,2026-06-24T17:00:31+00:00,18.96,2026-06-24T17:00:31+00:00
2026-06-24T17:20:31.844530+00:00,18.11,2026-06-24T17:05:17+00:00,18.85,2026-06-24T17:05:16+00:00
2026-06-24T17:25:29.395339+00:00,18.62,2026-06-24T17:10:16+00:00,19.13,2026-06-24T17:10:16+00:00
2026-06-24T17:30:34.940744+00:00,18.64,2026-06-24T17:15:31+00:00,19.13,2026-06-24T17:15:31+00:00
2026-06-24T17:35:34.164407+00:00,19.36,2026-06-24T17:20:32+00:00,19.57,2026-06-24T17:20:31+00:00
2026-06-24T17:40:29.136960+00:00,19.63,2026-06-24T17:25:16+00:00,19.77,2026-06-24T17:25:16+00:00
2026-06-24T17:45:36.349354+00:00,20.13,2026-06-24T17:30:32+00:00,20.01,2026-06-24T17:30:31+00:00
2026-06-24T17:50:31.454766+00:00,20.0,2026-06-24T17:35:16+00:00,19.94,2026-06-24T17:35:16+00:00
2026-06-24T17:55:31.324923+00:00,19.96,2026-06-24T17:40:16+00:00,19.88,2026-06-24T17:40:16+00:00
2026-06-24T18:00:37.242933+00:00,20.13,2026-06-24T17:45:31+00:00,19.99,2026-06-24T17:45:31+00:00
2026-06-24T18:05:32.665927+00:00,19.95,2026-06-24T17:50:16+00:00,19.87,2026-06-24T17:50:16+00:00
2026-06-24T18:10:35.166782+00:00,19.65,2026-06-24T17:55:32+00:00,19.7,2026-06-24T17:55:31+00:00
2026-06-24T18:15:40.580071+00:00,20.14,2026-06-24T18:00:31+00:00,19.97,2026-06-24T18:00:31+00:00
2026-06-24T18:20:31.494738+00:00,19.86,2026-06-24T18:05:16+00:00,19.8,2026-06-24T18:05:16+00:00
2026-06-24T18:25:31.830379+00:00,19.67,2026-06-24T18:10:17+00:00,19.7,2026-06-24T18:10:16+00:00
2026-06-24T18:30:38.006366+00:00,19.6,2026-06-24T18:15:31+00:00,19.63,2026-06-24T18:15:31+00:00
2026-06-24T18:35:31.285336+00:00,19.33,2026-06-24T18:20:16+00:00,19.47,2026-06-24T18:20:16+00:00
2026-06-24T18:40:33.942552+00:00,18.88,2026-06-24T18:25:17+00:00,19.24,2026-06-24T18:25:31+00:00
2026-06-24T18:45:31.014354+00:00,18.97,2026-06-24T18:30:16+00:00,19.27,2026-06-24T18:30:16+00:00
2026-06-24T18:50:31.596972+00:00,18.97,2026-06-24T18:35:17+00:00,19.28,2026-06-24T18:35:16+00:00
2026-06-24T18:55:33.096428+00:00,19.19,2026-06-24T18:40:16+00:00,19.41,2026-06-24T18:40:31+00:00
2026-06-24T19:00:40.896511+00:00,19.3,2026-06-24T18:45:31+00:00,19.5,2026-06-24T18:45:31+00:00
2026-06-24T19:05:37.341964+00:00,20.01,2026-06-24T18:50:31+00:00,19.98,2026-06-24T18:50:31+00:00
2026-06-24T19:10:36.514811+00:00,19.75,2026-06-24T18:55:31+00:00,19.88,2026-06-24T18:55:31+00:00
2026-06-24T19:15:32.872012+00:00,20.01,2026-06-24T19:00:31+00:00,20.0,2026-06-24T19:00:16+00:00
2026-06-24T19:20:32.186742+00:00,19.67,2026-06-24T19:05:17+00:00,19.81,2026-06-24T19:05:16+00:00
2026-06-24T19:25:30.231580+00:00,20.25,2026-06-24T19:10:17+00:00,20.14,2026-06-24T19:10:16+00:00
2026-06-24T19:30:33.163936+00:00,20.15,2026-06-24T19:15:17+00:00,20.11,2026-06-24T19:15:31+00:00
2026-06-24T19:35:33.893231+00:00,20.13,2026-06-24T19:20:31+00:00,20.06,2026-06-24T19:20:31+00:00
2026-06-24T19:40:30.420725+00:00,19.81,2026-06-24T19:25:17+00:00,19.87,2026-06-24T19:25:16+00:00
2026-06-24T19:45:32.490411+00:00,19.96,2026-06-24T19:30:17+00:00,19.97,2026-06-24T19:30:16+00:00
2026-06-24T19:50:30.232003+00:00,20.01,2026-06-24T19:35:17+00:00,20.02,2026-06-24T19:35:16+00:00
2026-06-24T19:55:29.703200+00:00,19.84,2026-06-24T19:40:17+00:00,19.93,2026-06-24T19:40:16+00:00
2026-06-24T20:00:34.083552+00:00,19.77,2026-06-24T19:45:31+00:00,19.89,2026-06-24T19:45:31+00:00
2026-06-24T20:05:29.552220+00:00,19.64,2026-06-24T19:50:17+00:00,19.7,2026-06-24T19:50:16+00:00
2026-06-24T20:10:32.930523+00:00,19.6,2026-06-24T19:55:17+00:00,19.63,2026-06-24T19:55:16+00:00
2026-06-24T20:15:32.977759+00:00,19.48,2026-06-24T20:00:16+00:00,19.58,2026-06-24T20:00:16+00:00
2026-06-24T20:20:42.252386+00:00,18.25,2026-06-24T20:05:31+00:00,18.79,2026-06-24T20:05:31+00:00
2026-06-24T20:25:35.519331+00:00,18.04,2026-06-24T20:10:31+00:00,18.62,2026-06-24T20:10:31+00:00
2026-06-24T20:30:44.843724+00:00,18.07,2026-06-24T20:15:01+00:00,18.63,2026-06-24T20:15:01+00:00
2026-06-24T23:10:28.666908+00:00,18.07,2026-06-24T20:15:01+00:00,19.49,2026-06-23T20:15:00+00:00
2026-06-24T23:20:28.328672+00:00,18.07,2026-06-24T20:15:01+00:00,18.63,2026-06-24T20:15:01+00:00
2026-06-25T08:00:39.792183+00:00,18.07,2026-06-24T20:15:01+00:00,18.02,2026-06-25T07:45:31+00:00
2026-06-25T08:05:25.457772+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T07:50:16+00:00
2026-06-25T08:10:43.626356+00:00,18.07,2026-06-24T20:15:01+00:00,18.04,2026-06-25T07:55:31+00:00
2026-06-25T08:15:29.848832+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T08:00:16+00:00
2026-06-25T08:20:31.372043+00:00,18.07,2026-06-24T20:15:01+00:00,18.0,2026-06-25T08:05:16+00:00
2026-06-25T08:25:32.193044+00:00,18.07,2026-06-24T20:15:01+00:00,17.96,2026-06-25T08:10:16+00:00
2026-06-25T08:30:30.860737+00:00,18.07,2026-06-24T20:15:01+00:00,18.04,2026-06-25T08:15:16+00:00
2026-06-25T08:35:29.533686+00:00,18.07,2026-06-24T20:15:01+00:00,18.04,2026-06-25T08:20:16+00:00
2026-06-25T08:40:32.528942+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T08:25:31+00:00
2026-06-25T08:45:31.071301+00:00,18.07,2026-06-24T20:15:01+00:00,18.01,2026-06-25T08:30:16+00:00
2026-06-25T08:50:30.420981+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T08:35:16+00:00
2026-06-25T08:55:27.495194+00:00,18.07,2026-06-24T20:15:01+00:00,17.99,2026-06-25T08:40:16+00:00
2026-06-25T09:00:33.453122+00:00,18.07,2026-06-24T20:15:01+00:00,18.08,2026-06-25T08:45:31+00:00
2026-06-25T09:05:34.174060+00:00,18.07,2026-06-24T20:15:01+00:00,18.1,2026-06-25T08:50:31+00:00
2026-06-25T09:10:36.593285+00:00,18.07,2026-06-24T20:15:01+00:00,18.14,2026-06-25T08:55:31+00:00
2026-06-25T09:15:28.824451+00:00,18.07,2026-06-24T20:15:01+00:00,18.13,2026-06-25T09:00:16+00:00
2026-06-25T09:20:35.132833+00:00,18.07,2026-06-24T20:15:01+00:00,18.07,2026-06-25T09:05:31+00:00
2026-06-25T09:25:26.490865+00:00,18.07,2026-06-24T20:15:01+00:00,18.07,2026-06-25T09:10:16+00:00
2026-06-25T09:30:30.839816+00:00,18.07,2026-06-24T20:15:01+00:00,18.06,2026-06-25T09:15:16+00:00
2026-06-25T09:35:28.714104+00:00,18.07,2026-06-24T20:15:01+00:00,18.11,2026-06-25T09:20:16+00:00
2026-06-25T09:40:34.728728+00:00,18.07,2026-06-24T20:15:01+00:00,18.09,2026-06-25T09:25:31+00:00
2026-06-25T09:45:34.296116+00:00,18.07,2026-06-24T20:15:01+00:00,18.07,2026-06-25T09:30:31+00:00
2026-06-25T09:50:38.184423+00:00,18.07,2026-06-24T20:15:01+00:00,18.05,2026-06-25T09:35:31+00:00
2026-06-25T09:55:31.133062+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T09:40:16+00:00
2026-06-25T10:00:38.447503+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T09:45:31+00:00
2026-06-25T10:05:29.679386+00:00,18.07,2026-06-24T20:15:01+00:00,18.03,2026-06-25T09:50:16+00:00
2026-06-25T10:10:27.679666+00:00,18.07,2026-06-24T20:15:01+00:00,17.98,2026-06-25T09:55:16+00:00
2026-06-25T10:15:34.711271+00:00,18.07,2026-06-24T20:15:01+00:00,18.02,2026-06-25T10:00:31+00:00
2026-06-25T10:20:30.461914+00:00,18.07,2026-06-24T20:15:01+00:00,17.99,2026-06-25T10:05:16+00:00
2026-06-25T10:25:31.719961+00:00,18.07,2026-06-24T20:15:01+00:00,17.95,2026-06-25T10:10:16+00:00
2026-06-25T10:30:33.838068+00:00,18.07,2026-06-24T20:15:01+00:00,17.9,2026-06-25T10:15:31+00:00
2026-06-25T10:35:29.638252+00:00,18.07,2026-06-24T20:15:01+00:00,17.91,2026-06-25T10:20:16+00:00
